p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5,p_6,v_6,t_6
99.02159494,54.51524875,0,91.00930842,54.24528048,0,96.1038396,49.46645977,0,90.60602165,48.67354678,0,85.03499727,48.73912679,0,83.87741887,45.23835285,0,87.08268253,42.69634861,0
92.82349325,55.34105518,0.003302013,85.18445644,54.783596,0.003194631,90.30140841,50.06219573,0.003033557,84.76613244,49.25752402,0.003060403,79.46509267,49.14658709,0.002979866,78.29269578,45.55128867,0.00295302,81.05646947,42.89704134,0.003033557
86.95068234,56.14311037,0.006604027,79.79812089,55.28617222,0.006389262,84.71149442,50.64644782,0.006067114,79.29972321,49.83158187,0.006120805,74.28232357,49.5390793,0.005959732,73.14037176,45.85737166,0.00590604,75.35849041,43.0950628,0.006067114
81.5409222,56.91470432,0.00990604,74.8655622,55.74993076,0.009583893,79.45159843,51.2157705,0.009100671,74.26357936,50.39187391,0.009181208,69.49439858,49.91466641,0.008939597,68.43096249,46.15523868,0.00885906,70.11165503,43.28999118,0.009100671
76.60394037,57.6499766,0.013208054,70.339392,56.17220338,0.012778523,74.62273928,51.76677568,0.012134228,69.68628977,50.9346762,0.012241611,65.12625748,50.27046423,0.011919463,64.22221511,46.44225459,0.011812081,65.41897367,43.48145226,0.012134228
72.05509626,58.34377687,0.016510067,66.10879541,56.55021634,0.015973154,70.35497455,52.28476168,0.015167785,65.54745936,51.44736565,0.015302013,61.17350916,50.59347197,0.014899329,60.41899188,46.71181306,0.014765101,61.40437155,43.66797299,0.015167785
67.75696176,58.98775268,0.019812081,62.04901097,56.86687387,0.019167785,66.33369804,52.7724954,0.018201342,61.56667858,51.92934125,0.018362416,57.39410507,50.89192151,0.017879195,56.73464612,46.96798809,0.017718121,57.65568167,43.85103086,0.018201342
63.61123164,59.56965747,0.023114094,58.08510537,57.13563128,0.022362416,62.46862668,53.22938596,0.021234899,57.68928513,52.38106079,0.021422819,53.76820774,51.1649061,0.02085906,53.1376904,47.21030444,0.020671141,54.05376503,44.03106089,0.021234899
59.60718195,60.09542639,0.026416107,54.2571485,57.3560398,0.025557047,58.70764538,53.65339759,0.024268456,53.91086506,52.80052717,0.024483221,50.2873123,51.40921776,0.023838926,49.61470347,47.43530771,0.023624161,50.52701226,44.20826546,0.024268456
55.77118287,60.56239078,0.029718121,50.60102357,57.5279487,0.028751678,55.073346,54.02989335,0.027302013,50.31231403,53.17799664,0.027543624,47.00660853,51.61386912,0.026818792,46.27631875,47.64016219,0.026577181,47.08066537,44.38215228,0.027302013
52.10726362,60.96829894,0.033020134,47.15237087,57.65044462,0.031946309,51.60038645,54.36417832,0.03033557,46.95823921,53.51060382,0.030604027,43.8581642,51.79063131,0.029798658,43.12548554,47.83002704,0.029530201,43.78285859,44.55361256,0.03033557
48.59391268,61.31125966,0.036322148,43.93189922,57.71056735,0.03514094,48.28626615,54.66060253,0.033369128,43.76860122,53.80578296,0.03366443,40.833698,51.93955897,0.032778523,40.16758178,48.00488701,0.032483221,40.65065214,44.72300563,0.033369128
45.1917225,61.58001459,0.039624161,40.81956689,57.72446164,0.03833557,45.13512203,54.91891006,0.036402685,40.70421527,54.06311845,0.036724832,37.93543745,52.05736177,0.035758389,37.43237634,48.16032828,0.035436242,37.6997407,44.89033226,0.036402685
41.87295222,61.77370297,0.042926174,37.79013703,57.6931602,0.041530201,42.17013625,55.12870482,0.039436242,37.71481982,54.27841452,0.039785235,35.19072315,52.13721783,0.038738255,34.80695863,48.29706771,0.038389262,34.97058937,45.05481721,0.039436242
38.65883764,61.89914095,0.046228188,34.83518718,57.61784272,0.044724832,39.3380042,55.29351257,0.042469799,34.78443281,54.44254777,0.042845638,32.56527444,52.19060385,0.041718121,32.23574946,48.4190171,0.041342282,32.40057364,45.2160349,0.042469799
