p_0,v_0,t_0,p_1,v_1,t_1,p_2,v_2,t_2,p_3,v_3,t_3,p_4,v_4,t_4,p_5,v_5,t_5
88.66176679,63.5093936,0,85.05531561,61.55812011,0,83.27331807,57.84430406,0,89.92747085,59.39010448,0,86.54364076,60.58838424,0,84.53033898,60.10420579,0
83.49681534,63.75076472,0.002818792,79.84070839,61.76254207,0.002845638,78.00264361,57.92819054,0.002765101,84.75921747,59.57054018,0.002711409,81.63847175,60.8311242,0.002711409,79.62611807,60.27388142,0.002711409
78.54282459,63.98058639,0.005637584,74.93947791,61.95456992,0.005691275,73.0134844,57.99914466,0.005530201,79.73607223,59.74066018,0.005422819,76.98283459,61.06413992,0.005422819,74.99235708,60.42591498,0.005422819
73.83744213,64.19843935,0.008456376,70.36786966,62.13378131,0.008536913,68.32307714,58.05700401,0.008295302,74.87389823,59.90033369,0.008134228,72.58278015,61.28732076,0.008134228,70.63279511,60.56023244,0.008134228
69.63127802,64.39746046,0.011275168,66.29390112,62.29425762,0.01138255,64.23120685,58.09263178,0.011060403,70.57913317,60.03881113,0.010845638,68.75088505,61.49076362,0.010845638,66.83491367,60.66117279,0.010845638
65.80086329,64.57845415,0.01409396,62.5480264,62.43539924,0.014228188,60.47871418,58.11147492,0.013825503,66.61534411,60.16330966,0.013557047,65.16867376,61.68133998,0.013557047,63.27473899,60.74164289,0.013557047
62.19057438,64.74493108,0.016912752,58.96542599,62.56151034,0.017073826,56.95557233,58.11629086,0.016590604,62.93149238,60.2748898,0.016268456,61.79096491,61.86003884,0.016268456,59.91075513,60.80344304,0.016268456
58.76834926,64.89412472,0.019731544,55.5022142,62.67166145,0.019919463,53.63371975,58.10126897,0.019355705,59.5621236,60.3632221,0.018979866,58.58972358,62.01745688,0.018979866,56.72840696,60.83345032,0.018979866
55.46707905,65.01935104,0.022550336,52.15147817,62.75662502,0.022765101,50.40217473,58.06748148,0.022120805,56.29050195,60.43495573,0.021691275,55.43817324,62.15961419,0.021691275,53.62005147,60.84218971,0.021691275
52.24601956,65.1289094,0.025369128,48.90337336,62.82632145,0.025610738,47.24571196,58.020567,0.024885906,53.09650216,60.49271647,0.024402685,52.33411145,62.28886353,0.024402685,50.57949723,60.83332893,0.024402685
49.1098798,65.22273253,0.028187919,45.76942241,62.88085286,0.028456376,44.19031867,57.95790027,0.027651007,50.00950513,60.52776751,0.027114094,49.33047592,62.39688184,0.027114094,47.67178862,60.79710918,0.027114094
46.16234469,65.29111927,0.031006711,42.83431585,62.91432447,0.031302013,41.34069299,57.87661891,0.030416107,47.05393778,60.54535822,0.029825503,46.46215013,62.488057,0.029825503,44.89868591,60.74106022,0.029825503
43.35503896,65.34196051,0.033825503,40.06278818,62.92949358,0.034147651,38.62848951,57.7846321,0.033181208,44.2084447,60.54964036,0.032536913,43.70308793,62.56616016,0.032536913,42.22664997,60.67021427,0.032536913
40.66335666,65.37716068,0.036644295,37.39755625,62.93064607,0.036993289,36.06070221,57.68189567,0.035946309,41.55043511,60.53434006,0.035248322,41.12059994,62.62442594,0.035248322,39.69937444,60.57841363,0.035248322
38.10438664,65.39179277,0.039463087,34.83140942,62.91675223,0.039838926,33.67013423,57.56395605,0.038711409,39.02939788,60.50301572,0.037959732,38.65860742,62.6652678,0.037959732,37.26689337,60.47054185,0.037959732
35.65091337,65.38536289,0.042281879,32.38172105,62.88258704,0.042684564,31.3361741,57.43959497,0.04147651,36.59053657,60.4607867,0.040671141,36.26937449,62.69371027,0.040671141,34.90011306,60.35208559,0.040671141
33.27330857,65.36416519,0.045100671,30.02015846,62.83686321,0.045530201,29.05589082,57.30931552,0.044241611,34.24177656,60.40409193,0.04338255,33.96082976,62.70477542,0.04338255,32.6225301,60.22019184,0.04338255
30.97538488,65.32765109,0.047919463,27.7527653,62.78008406,0.048375839,26.85223113,57.17301048,0.047006711,31.97046302,60.33535514,0.04609396,31.72687486,62.69917661,0.04609396,30.46196207,60.07818696,0.04609396
28.82387393,65.26793066,0.050738255,25.64583973,62.70908084,0.051221477,24.73643652,57.03609021,0.049771812,29.76309358,60.25970862,0.048805369,29.55354967,62.68290389,0.048805369,28.38886954,59.93081396,0.048805369
26.76072487,65.19528413,0.053557047,23.6681682,62.62853822,0.054067114,22.70922017,56.89985598,0.052536913,27.65301147,60.17611275,0.051516779,27.4716613,62.65299878,0.051516779,26.44114195,59.77779263,0.051516779
24.78380591,65.11007162,0.056375839,21.78407506,62.5413125,0.056912752,20.84518419,56.76790008,0.055302013,25.69101462,60.08720439,0.054228188,25.52688993,62.60962193,0.054228188,24.62422338,59.62251164,0.054228188
22.92464136,65.00766995,0.059194631,19.99506066,62.44754251,0.059758389,19.14991294,56.64486821,0.058067114,23.82426549,59.99671796,0.056939597,23.67335508,62.55897908,0.056939597,22.87560731,59.46769096,0.056939597
21.16080847,64.89327203,0.062013423,18.31354611,62.34833803,0.062604027,17.57097253,56.53045383,0.060832215,22.07656684,59.90542826,0.059651007,21.93579222,62.50014393,0.059651007,21.20229587,59.3146624,0.059651007
19.48169771,64.77024515,0.064832215,16.71066001,62.2476275,0.065449664,16.12986647,56.4290556,0.063597315,20.46377656,59.81778934,0.062362416,20.34049197,62.43440501,0.062362416,19.61446404,59.16898745,0.062362416
