p_0,v_0,t_0
105.177,48.65272516,0
96.3051,48.23422036,0.002604027
88.2056,47.79622298,0.005208054
80.8098,47.33570084,0.007812081
74.0554,46.84399333,0.010416107
67.8856,46.34063523,0.013020134
62.2487,45.82295402,0.015624161
57.0974,45.29487782,0.018228188
52.3889,44.76520788,0.020832215
48.0843,44.23587781,0.023436242
44.1482,43.71767731,0.026040268
40.5484,43.20959411,0.028644295
37.2557,42.72293044,0.031248322
34.2434,42.26653032,0.033852349
31.4876,41.83218249,0.036456376
28.966,41.44381785,0.039060403
26.6589,41.09860956,0.04166443
24.5482,40.78572983,0.044268456
22.6177,40.54215513,0.046872483
20.8528,40.34641171,0.04947651
19.2408,40.18992168,0.052080537
17.7701,40.11889918,0.054684564
16.4303,40.09172452,0.057288591
15.2124,40.10931122,0.059892617
14.1077,40.20932663,0.062496644
13.1086,40.34711175,0.065100671
12.2078,40.53164236,0.067704698
11.3989,40.78191732,0.070308725
10.6759,41.06365867,0.072912752
10.033,41.38812372,0.075516779
9.46507,41.75824924,0.078120805
8.96743,42.15146589,0.080724832
8.53495,42.57757599,0.083328859
8.16315,43.02995881,0.085932886
7.84788,43.49697947,0.088536913
7.58524,43.98523435,0.09114094
7.37156,44.48730316,0.093744966
7.20332,44.99851124,0.096348993
7.07713,45.52483004,0.09895302
6.98968,46.06145276,0.101557047
6.93776,46.60621341,0.104161074
6.9183,47.16931725,0.106765101
6.92827,47.74483866,0.109369128
6.96465,48.33156021,0.111973154
7.02437,48.94629525,0.114577181
7.10434,49.57603478,0.117181208
7.2015,50.22349639,0.119785235
7.31296,50.90324458,0.122389262
7.43594,51.59976965,0.124993289
7.56778,52.31879429,0.127597315
7.70592,53.06852148,0.130201342
7.84793,53.83485495,0.132805369
7.9916,54.62573267,0.135409396
8.13511,55.44324942,0.138013423
8.27705,56.27649085,0.14061745
8.41649,57.13518372,0.143221477
8.55284,58.01658684,0.145825503
8.68585,58.91286654,0.14842953
8.81557,59.83542736,0.151033557
8.94228,60.77702837,0.153637584
9.06645,61.73250533,0.156241611
9.18878,62.71378686,0.158845638
9.31012,63.70945377,0.161449664
9.43088,64.71704188,0.164053691
9.55111,65.74677334,0.166657718
9.67042,66.78562535,0.169261745
9.78812,67.83418007,0.171865772
9.9034,68.89611094,0.174469799
10.0155,69.96195628,0.177073826
10.1236,71.03234383,0.179677852
10.2268,72.10212089,0.182281879
10.3241,73.16819055,0.184885906
10.4141,74.22723728,0.187489933
10.4954,75.26958652,0.19009396
10.5666,76.29989559,0.192697987
10.6267,77.30843269,0.195302013
10.6753,78.28977267,0.19790604
10.7121,79.25261744,0.200510067
10.7373,80.18042099,0.203114094
10.7516,81.07527227,0.205718121
10.7559,81.94610727,0.208322148
10.7515,82.76717995,0.210926174
10.7403,83.55067607,0.213530201
10.7241,84.30415393,0.216134228
10.7049,84.9904952,0.218738255
10.6844,85.63736871,0.221342282
10.6645,86.24714254,0.223946309
10.6464,86.77791611,0.226550336
10.6313,87.27039607,0.229154362
10.6199,87.71687501,0.231758389
10.6127,88.08871184,0.234362416
10.6101,88.42335,0.236966443
10.6121,88.70789223,0.23957047
10.619,88.92982706,0.242174497
10.6308,89.11897896,0.244778523
10.6476,89.26025879,0.24738255
10.6696,89.3562163,0.249986577
10.6968,89.42720858,0.252590604
10.7291,89.46111478,0.255194631
10.7665,89.47177216,0.257798658
10.8091,89.4694634,0.260402685
10.8571,89.45318063,0.263006711
10.9108,89.43867457,0.265610738
10.9703,89.42719651,0.268214765
11.0362,89.43721599,0.270818792
11.1087,89.47104582,0.273422819
11.1879,89.52527866,0.276026846
11.2738,89.6405605,0.278630872
11.3661,89.79215111,0.281234899
11.4647,89.9839971,0.283838926
11.5689,90.25816345,0.286442953
11.6787,90.57607283,0.28904698
11.7938,90.95096396,0.291651007
11.9143,91.41186687,0.294255034
12.0402,91.9189808,0.29685906
12.1718,92.49292215,0.299463087
12.3093,93.14338916,0.302067114
12.4527,93.83682712,0.304671141
12.6016,94.59677629,0.307275168
12.7555,95.41444479,0.309879195
12.9132,96.26702799,0.312483221
13.0736,97.1751374,0.315087248
13.2353,98.11864257,0.317691275
13.3968,99.08568346,0.320295302
13.5568,100.0873842,0.322899329
13.7141,101.1020581,0.325503356
13.8675,102.1264656,0.328107383
14.0163,103.1563503,0.330711409
14.1596,104.1812021,0.333315436
14.2971,105.2011238,0.335919463
14.4286,106.1979296,0.33852349
14.5541,107.17844,0.341127517
14.6736,108.1385772,0.343731544
14.7875,109.0571627,0.34633557
14.8961,109.9512092,0.348939597
14.9995,110.8102471,0.351543624
15.0973,111.6192673,0.354147651
15.1891,112.3992853,0.356751678
15.2737,113.134026,0.359355705
15.3501,113.8203586,0.361959732
15.4167,114.4769533,0.364563758
15.4719,115.0835219,0.367167785
15.5139,115.6469913,0.369771812
15.5407,116.1810823,0.372375839
15.5506,116.6610176,0.374979866
15.5419,117.1022828,0.377583893
15.5137,117.5140339,0.380187919
15.466,117.8665383,0.382791946
15.399,118.1848393,0.385395973
15.314,118.4735413,0.388
